"Kod"	"Överordnad kod"	"Titel"	"Alternativ titel"	"Beskrivning"	"Innefattar"	"Utesluter"	"Anmärkning"	"Bedömningsfaktor"
"e565"	"e5"	"Service, tjänster, system och policies inom ekonomi"	"Samhällstjänster och regelverk inom ekonomi"	"Service, tjänster, system och policies som sammanhänger med övergripande system för produktion, distribution, konsumtion och användning av varor och tjänster"	""	"Utesluter:service, tjänster, system och policies inom socialförsäkring (e570)"	""	""
"e5650"	"e565"	"Service och tjänster inom ekonomi"	""	"Service, tjänster och program som syftar till produktion, distribution, konsumtion och användning av varor och tjänster såsom den privata kommersiella sektorn (t.ex. företag, korporationer, privata vinstdrivande satsningar), den offentliga sektorn (t.ex. offentliga kommersiella tjänster såsom kooperativ och statliga korporationer), finansiella organisationer (t.ex. banker och försäkringstjänster), innefattande personer som ger dessa tjänster"	""	"nyttighetsservice och tjänster (e5300); service och tjänster för arbete och sysselsättning (e5900)"	""	""
"e5651"	"e565"	"Ekonomiska system"	""	"Administrativa kontroll- och tillsynssystem som styr produktion, distribution, konsumtion och användning av varor och tjänster såsom system för att implementera och övervaka ekonomiska policyer"	""	"nyttighetssystem (e5301); arbets- och sysselsättningssystem (e5901)"	""	""
"e5652"	"e565"	"Ekonomiska policies"	""	"Lagstiftning, föreskrifter och standarder som styr produktion, distribution, konsumtion och användning av varor och tjänster såsom ekonomiska doktriner som är antagna och implementerade av regeringar"	""	"nyttighetspolicies (e5302); arbets- och sysselsättningspolicies (e5902)"	""	""
"e5658"	"e565"	"Service, tjänster, system och policies inom ekonomi, andra specificerade"	""	""	""	""	""	""
"e5659"	"e565"	"Service, tjänster, system och policies inom ekonomi, ospecificerade"	""	""	""	""	""	""
"e570"	"e5"	"Service, tjänster, system och policies inom socialförsäkring"	"Samhällstjänster och regelverk inom socialförsäkring"	"Service, tjänster, system och policies som syftar till att ge ekonomiskt stöd till människor som på grund av ålder, fattigdom, arbetslöshet, hälsotillstånd eller funktionshinder behöver offentligt stöd baserat på antingen allmänna skatteinkomster eller bidragssystem"	""	"service, tjänster, system och policies inom ekonomi (e565)"	""	""
"e5700"	"e570"	"Sociala stödprogram"	""	"Service, tjänster och program som syftar till att ge inkomststöd till personer som på grund av ålder, fattigdom, arbetslöshet, hälsotillstånd eller funktionshinder behöver offentligt stöd baserat antingen på allmänna skatteinkomster eller bidragssystem, såsom för att bestämma rätt till, tillhandahållande och distribution av stöd inom följande slag av program: sociala stödprogram (t.ex. allmänna bidrag, bidrag prövade med hänsyn till ekonomiska eller andra behov), socialförsäkringsprogram (t.ex. avgiftsbelagda olycksfalls- eller arbetslöshetsförsäkringar) och handikappersättning, sjuk- och förtidspension (t.ex. ersättning för inkomstbortfall), innefattande personer som ger dessa tjänster"	""	"hälsoservice och hälsotjänster (e5800)"	""	""
"e5701"	"e570"	"Socialförsäkringssystem"	""	"Administrativa kontroll- och tillsynssystem som styr program och system som ger inkomststöd till människor som på grund av ålder, fattigdom, arbetslöshet, hälsotillstånd eller funktionshinder behöver offentligt stöd, såsom system för att implementera regler och föreskrifter som styr rätt till socialt stöd, välfärd, arbetslöshetsförsäkring, pensioner och förmåner för personer med funktionshinder"	""	""	""	""
"e5702"	"e570"	"Socialförsäkringspolicies"	""	"Lagstiftning, föreskrifter och standarder som styr program och system som ger inkomststöd till personer som på grund av ålder, fattigdom, arbetslöshet, hälsotillstånd eller funktionshinder behöver offentligt stöd, såsom lagstiftning och föreskrifter som styr rätt till socialt stöd, välfärd, arbetslöshetsersättning, förtidspension och förmåner för personer med funktionshinder"	""	""	""	""
"e5708"	"e570"	"Service, tjänster, system och policies inom socialförsäkring, andra specificerade"	""	""	""	""	""	""
"e5709"	"e570"	"Service, tjänster, system och policies inom socialförsäkring, ospecificerade"	""	""	""	""	""	""
"e575"	"e5"	"Service, tjänster, system och policies för allmänna sociala stödinsatser"	"Samhällstjänster och regelverk för allmänna sociala stödinsatser"	"Service, tjänster, system och policies som syftar till att erbjuda stöd till personer som behöver assistans inom sådana områden som inköp, hushållsarbete, transport, barnomsorg, personlig vård och vård av andra för att fungera bättre i samhället"	""	"service, tjänster, system och policies inom socialförsäkring (e570); stöd från personliga vårdgivare och personliga assistenter (e340); service, tjänster, system och policies inom hälsovård (e580)"	""	""
"e5750"	"e575"	"Service och tjänster för allmänna sociala stödinsatser"	""	"Service, tjänster och program som syftar till att erbjuda socialt stöd till människor som på grund av ålder, fattigdom, arbetslöshet, hälsotillstånd eller funktionshinder behöver offentlig assistans inom sådana områden som inköp, hushållsarbete, transport, personlig vård och vård av andra för att fungera bättre i samhället"	""	""	""	""
"e5751"	"e575"	"System för allmänna sociala stödinsatser"	""	"Administrativa kontroll- och tillsynssystem som styr de program och scheman som erbjuder socialt stöd till människor som på grund av ålder, fattigdom, arbetslöshet, hälsotillstånd eller funktionshinder behöver sådant stöd, innefattande system för att fullfölja regler och bestämmelser som styr berättigande till allmänna sociala stödinsatser och erbjudandet av dessa tjänster"	""	""	""	""
"e5752"	"e575"	"Policies för allmänna sociala stödinsatser"	""	"Lagstiftning, föreskrifter och standarder som styr de program och scheman som erbjuder socialt stöd till människor som på grund av ålder, fattigdom, arbetslöshet, hälsotillstånd eller funktionshinder behöver sådant stöd, innefattande lagstiftning och bestämmelser som styr berättigandet till socialt stöd"	""	""	""	""
"e5758"	"e575"	"Service, tjänster, system och policies för allmänna sociala stödinsatser, andra specificerade"	""	""	""	""	""	""
"e5759"	"e575"	"Service, tjänster, system och policies för allmänna sociala stödinsatser, ospecificerade"	""	""	""	""	""	""
"e580"	"e5"	"Service, tjänster, system och policies inom hälsovård"	"Samhällstjänster och regelverk inom hälsovård"	"Service, tjänster, system och policies för att förebygga och behandla hälsoproblem genom att erbjuda medicinsk rehabilitering och att främja en hälsosam livsstil"	""	"service, tjänster, system och policies för allmänna sociala stödinsatser (e575)"	""	""
"e5800"	"e580"	"Hälsoservice och hälsotjänster"	""	"Service, tjänster och program på lokal, kommunal, regional, statlig eller nationell nivå som syftar till insatser för personer för deras fysiska, psykiska och sociala välbefinnande, såsom hälsobefrämjande och sjukdomsförebyggande tjänster, primärvård, akutvård, rehabilitering och långtidsvård; tjänster, offentligt eller privat finansierade, som ges på kort eller lång sikt, periodiskt eller vid enstaka tillfällen, för olika slag av service som ges av t.ex. kommun, i hem, skola, allmänna sjukhus, specialsjukhus, kliniker och sjukhem, innefattande personer som ger dessa tjänster"	""	""	""	""
"e5801"	"e580"	"Hälsosystem"	""	"Administrativa kontroll- och tillsynssystem som styr omfattningen av service och tjänster som erbjuds till personer för deras fysiska, psykiska och sociala välbefinnande i olika former innefattande kommun, i hem, skola och på arbetsplatser, allmänna sjukhus, specialsjukhus, kliniker och sjukhem, som t.ex. system för att fullfölja föreskrifter som bestämmer rätt till service och tjänster, ekonomisk ersättning för apparater, tekniska hjälpmedel eller annan utrustning samt lagstiftning som t.ex. hälso- och sjukvårdslag som styr grunddrag i ett hälsosystem som t.ex. tillgång, allmängiltighet, flexibilitet, offentlig finansiering och täckningsgrad"	""	""	""	""
"e5802"	"e580"	"Hälsopolicies"	""	"Lagstiftning, föreskrifter och standarder som styr omfattningen av service och tjänster som erbjuds personer för deras fysiska, psykiska och sociala välbefinnande i olika former innefattande av kommun, i hem, skola, arbete, allmänna sjukhus, specialsjukhus, kliniker, sjukhem eller öppna vårdformer, som t.ex. policies och standarder som bestämmer berättigandet till service och tjänster, ekonomisk ersättning för apparater, tekniska hjälpmedel eller annan utrustning samt lagstiftning såsom hälso- och sjukvårdslag som styr grunddrag i ett hälsosystem som t.ex. tillgång, allmängiltighet, flexibilitet, offentlig finansiering och täckningsgrad"	""	""	""	""
"e5808"	"e580"	"Service, tjänster, system och policies inom hälsovård, andra specificerade"	""	""	""	""	""	""
"e5809"	"e580"	"Service, tjänster, system och policies inom hälsovård, ospecificerade"	""	""	""	""	""	""
"e585"	"e5"	"Service, tjänster, system och policies för utbildning och yrkesförberedelse"	"Samhällstjänster och regelverk för utbildning och yrkesförberedelse"	"Service, tjänster, system och policies för att anskaffa, bibehålla och förbättra kunskap, expertis och yrkesmässiga eller konstnärliga färdigheter. Se UNESCO's International Standard Classification of Education (ISCED 2013)"	""	""	""	""
"e5850"	"e585"	"Service och tjänster för utbildning och yrkesförberedelse"	""	"Service, tjänster och program som har att göra med utbildning och anskaffande, bibehållande och förbättring av kunskap, expertis och yrkesmässiga eller konstnärliga färdigheter såsom att erbjuda olika utbildningsnivåer (dvs. förskola, grundskola, gymnasieskola, postgymnasiala institutioner, professionella program, tränings- och färdighetsprogram, lärlingskap, fortsatt utbildning), innefattande personer som ger dessa tjänster"	""	""	""	""
"e58500"	"e5850"	"Service och tjänster för stöd och anpassning inom utbildning"	""	"Service, tjänster och program som har att göra med rimligt boende, individuellt stöd och anpassning som tillgodoser individuella krav för att underlätta effektiv utbildning, såsom tillhandahållande av anpassat läromedel och metoder, stödpersonal, anpassade läroplaner för olika utbildningsnivåer (t.ex. förskola, grundskola, gymnasium, eftergymnasiala institutioner, professionella program, utbildning och kompetensprogram, lärlingsplatser och fortbildning), inklusive de som tillhandahåller dessa tjänster"	""	""	""	""
"e5851"	"e585"	"System för utbildning och yrkesförberedelse"	""	"Administrativa kontroll- och tillsynssystem som styr tillhandahållandet av utbildningsprogram såsom system för att fullfölja policyer och standarder som bestämmer berättigandet till offentlig eller privat utbildning och speciella behovsbaserade program; lokala, regionala eller nationella utbildningsstyrelser eller andra myndighetsorgan som styr grunddragen i utbildningssystemen, innefattande läroplan, klasstorlek, antal skolor inom en region, avgifter och understöd, speciella måltidsprogram eller program för omhändertagande efter skolan"	""	""	""	""
"e5852"	"e585"	"Policies för utbildning- och yrkesförberedelse"	""	"Lagstiftning, föreskrifter och standarder som styr tillhandahållandet av utbildningsprogram som t.ex. policies och standarder som bestämmer berättigandet till offentlig eller privat utbildning och speciella behovsbaserade program, som föreskriver strukturen i lokala, regionala eller nationella utbildningsstyrelser eller andra myndighetsorgan som styr grunddragen i utbildningsssystemet, innefattande läroplan, klasstorlek, antal skolor inom en region, avgifter och understöd, speciella måltidsprogram eller program för omhändertagande efter skolan"	""	""	""	""
